Entidad,Quintil,Año,Hombres,Mujeres,%_Hombres_quintil,%_Mujeres_quintil,%_hombres_sexo,%_mujeres_sexo,,,,,,,,,,
Michoacan de Ocampo,III,2018,329187,166118,25.7,20.1,66.5,33.5,,,,,,,,,,
Morelos,III,2018,163577,80104,30.5,21.2,67.1,32.9,,,,,,,,,,
Nayarit,III,2018,70797,50240,20.1,20.7,58.5,41.5,,,,,,,,,,
Nuevo Leon,III,2018,105055,125123,6.9,14.0,45.6,54.4,,,,,,,,,,
Oaxaca,III,2018,199342,93016,19.1,12.3,68.2,31.8,,,,,,,,,,
Puebla,III,2018,414981,202872,24.9,17.5,67.2,32.8,,,,,,,,,,
Queretaro de Arteaga,III,2018,102353,101069,18.4,25.3,50.3,49.7,,,,,,,,,,
Quintana Roo,III,2018,83160,63301,15.8,19.2,56.8,43.2,,,,,,,,,,
San Luis Potosi,III,2018,165087,107277,22.0,22.9,60.6,39.4,,,,,,,,,,
Sinaloa,III,2018,176872,114586,21.6,22.8,60.7,39.3,,,,,,,,,,
Sonora,III,2018,182913,133615,21.5,24.3,57.8,42.2,,,,,,,,,,
Tabasco,III,2018,138067,60123,21.1,13.9,69.7,30.3,,,,,,,,,,
Tamaulipas,III,2018,252852,154338,26.7,25.9,62.1,37.9,,,,,,,,,,
Tlaxcala,III,2018,101436,53375,27.2,20.4,65.5,34.5,,,,,,,,,,
Veracruz-Llave,III,2018,477106,218919,21.6,14.8,68.5,31.5,,,,,,,,,,
Yucatan,III,2018,147031,87154,22.0,18.6,62.8,37.2,,,,,,,,,,
Zacatecas,III,2018,122977,40393,29.2,18.3,75.3,24.7,,,,,,,,,,
Nacional,IV,2018,8275712,3738500,24.6,16.5,68.9,31.1,,,,,,,,,,
Aguascalientes,IV,2018,96144,46246,26.2,18.4,67.5,32.5,,,,,,,,,,
Baja California,IV,2018,322293,196912,31.7,30.4,62.1,37.9,,,,,,,,,,
Baja California Sur,IV,2018,61715,35328,24.2,23.8,63.6,36.4,,,,,,,,,,
Campeche,IV,2018,52376,22822,20.3,12.7,69.7,30.3,,,,,,,,,,
Chiapas,IV,2018,251612,128676,30.4,25.7,66.2,33.8,,,,,,,,,,
Chihuahua,IV,2018,56316,26720,26.3,16.8,67.8,32.2,,,,,,,,,,
Coahuila De Zaragoza,IV,2018,140220,53488,10.0,5.4,72.4,27.6,,,,,,,,,,
Colima,IV,2018,301601,168224,29.6,25.2,64.2,35.8,,,,,,,,,,
Distrito Federal,IV,2018,646148,421372,27.8,23.6,60.5,39.5,,,,,,,,,,
Durango,IV,2018,114898,40563,25.2,14.9,73.9,26.1,,,,,,,,,,
Guanajuato,IV,2018,435466,169658,27.7,15.9,72.0,28.0,,,,,,,,,,
Guerrero,IV,2018,135596,64624,14.7,9.6,67.7,32.3,,,,,,,,,,
Hidalgo,IV,2018,176217,82404,21.6,13.8,68.1,31.9,,,,,,,,,,
Jalisco,IV,2018,692259,301216,30.6,18.7,69.7,30.3,,,,,,,,,,
Mexico,IV,2018,1443724,539242,30.0,17.3,72.8,27.2,,,,,,,,,,
Michoacan de Ocampo,IV,2018,318766,93311,24.8,11.3,77.4,22.6,,,,,,,,,,
Morelos,IV,2018,112413,47157,20.9,12.5,70.4,29.6,,,,,,,,,,
Nayarit,IV,2018,83274,33540,23.6,13.8,71.3,28.7,,,,,,,,,,
